"iso","umd_tree_cover_extent_2000__ha","area__ha"
"SUR",13949809.56768395928820911,14642556.86529227755779965
"SVK",2397197.266002808213408614,4909915.804720572709124107
"SVN",1293520.687201154589371287,1998090.785493070289042345
"SWE",27883714.002104401388739661,45004558.106551215821502757
"SWZ",469227.38864805186332785,1738333.06301442092863887
"SXM",1022.17978238478378491,3801.38751521779961728
"SYC",6209.6246193926565553,20267.93208728904960801
"SYR",105939.86933258806860699,18691798.39213449598229951
"TCA",10851.31188484849777177,99152.01584845890596409
"TCD",409749.29467141703589210,126995174.50108101738991284
"TGO",558803.51325535240907294,5699519.20201679311129789
"THA",19962441.08856438030746052,51405448.59427833164799120
"TJK",60256.648494326543075484,14211295.40572036862855291
"TKM",10176.93568905963096422,48959209.55421509124961359
"TLS",726234.45140169493897431,1491565.39233698843320437
"TTO",391844.28193397896752198,515899.59454438763738262
"TUN",223827.619878476267067079,15486458.27095303216037744
"TUR",10060827.80563337411348474,78070340.890014757083910222
"TUV",0.0,49.9008349886126798
"TWN",2342180.54739472704063672,3640651.39732410864406330
"TZA",26406465.77483964063651268,94057690.73100682961950719
"UGA",7764958.85456220918006489,24143952.93930347622561458
"UKR",11133284.65245185818309687,60136109.70821625430034076
"UMI",145.89811682776058,541.679762804993470
"URY",1697322.42308113657992010,17746574.34434791151059637
"USA",279376627.649933765899981089,947295610.248254989117548909
"UZB",106176.257291829655662845,44755388.10019692072692325
"VAT",4.8384818514691833,52.878039684036315584
"VCT",29110.61416116652238270,39788.97162862953251505
"VEN",56533524.97089869448797172,91249225.52623253528127402
"VGB",7463.88088378359896657,16932.04449944635370192
"VIR",18997.90728331073113547,36213.91572681769147620
"VNM",16551332.11341416396144658,32927599.94752574518642883
"VUT",1181152.06497089245460317,1231886.10315649539738293
"XAD",455.93756603192643424,23448.38132255777572116
"XCA",141764.268407921831623864,37158133.71155808854235244
"XCL",0.0,1008.639098371928953
"XKO",370224.383966754898250289,1091976.44794592216733718
"XNC",12307.27552925240236072,331406.91415764446496773
"XPI",0.0,1969.2127161159839097
